namaDTPR,judulPublikasi,jenisPublikasi,tahun,linkBukti
Dr. Andi Wibowo,Sistem AI untuk Deteksi Emosi,Sinta 2,2024,https://doi.org/10.1234/aiemotion
Prof. Siti Nurhaliza,Pengembangan Vaksin COVID-19,Sinta 1,2023,https://doi.org/10.5678/vaccine
Dr. Budi Santoso,Analisis Big Data dalam Pendidikan,Sinta 3,2022,https://doi.org/10.9012/bigdataedu
Dr. Rina Sari,Robotika untuk Industri 4.0,Sinta 2,2024,https://doi.org/10.3456/robotics
Prof. Ahmad Fauzi,Studi Kasus Energi Terbarukan,Sinta 1,2023,https://doi.org/10.7890/renewable
Dr. Maya Indah,Inovasi Teknologi Blockchain,Sinta 3,2022,https://doi.org/10.1122/blockchain
Dr. Eko Prasetyo,Penggunaan Machine Learning di Pertanian,Sinta 2,2024,https://doi.org/10.3344/mlagri
Prof. Laila Fitri,Penelitian Kesehatan Mental Remaja,Sinta 1,2023,https://doi.org/10.5566/mentalhealth
Dr. Dedi Rahman,Desain Sistem Informasi Geografis,Sinta 3,2022,https://doi.org/10.7788/gisdesign
Dr. Nina Amelia,Studi Dampak Sosial Media,Sinta 2,2024,https://doi.org/10.9900/socialmedia
